iso3,name,population,median_age_approx,under_20_share,age_20_64_share,age_65_plus_share,age_80_plus_share,age_100_plus_share,age_120_plus_share,age_150_plus_share
CAN,Canada,37054446.291265264,52.74058631161844,0.18312214968891793,0.4395297450265938,0.3773481052844883,0.22997482415548431,0.0695597893906168,0.008831638347295943,0.00025028091833861877
CHE,Switzerland,6293680.460875694,53.15769627767733,0.1816012297670404,0.43607299212487893,0.3823257781080806,0.23554935788160564,0.0738959847559236,0.010180819316434766,0.0003305690096075213
CHL,Chile,6924541.27418677,52.61499761280779,0.18357139446712717,0.4406145020331311,0.3758141034997417,0.22822831300347973,0.06818436561441228,0.008422886294410447,0.0002298730472156233
CHN,China,268197504.81930485,51.14281385161816,0.18917404133295432,0.4531624890186666,0.3576634696483791,0.20831015049209356,0.05393597487536042,0.004796315659326935,7.51477396131547e-05
CIV,Côte d'Ivoire,85532757.84559011,42.73998396382701,0.22796654037126327,0.5327328714519812,0.2393005881767555,0.09547746255276646,0.006476596476942636,1.8908947406512822e-05,7.644083642071946e-10
CMR,Cameroon,72653316.7538642,45.18534413185729,0.21531449636443303,0.5084607474911087,0.2762247561444583,0.12697463208322568,0.014247428230501642,0.00015987154068107084,7.12056263273266e-08
COD,Democratic Republic of the Congo,347091223.16966826,42.8549441578749,0.22735504049667302,0.5315275959893567,0.24111736351397023,0.09696974391242646,0.006776395367874584,2.155470198612307e-05,1.024154124964259e-09
COG,Congo,16837247.80504667,45.38597323878198,0.21432312525867667,0.5065266898453422,0.27915018489598104,0.1296062925055545,0.015058568448482997,0.00018471918043115487,9.5948287007287e-08
COK,Cook Islands,4960.512129667876,50.14658095208353,0.19314346513089337,0.46194105620301323,0.3449154786660933,0.19464663917458203,0.0451565347600833,0.0030964626347368134,3.085098343669496e-05
COL,Colombia,27645478.266820133,50.861483840643004,0.1902729854404675,0.4556350502732774,0.35409196428625517,0.20442897189515816,0.0513358319886393,0.004246386241825398,5.8258165539467195e-05
COM,Comoros,1491528.2646936758,46.217459538371244,0.2103250059289518,0.4984604810720517,0.2912145129989964,0.14077100451055008,0.018874848985339986,0.000334127712022616,3.279628833681969e-07
CPV,Cabo Verde,228556.01510652847,50.04230215021782,0.19356368392611142,0.46288587610841486,0.3435504399654738,0.19318771078990793,0.044266852787295224,0.002948854818694,2.8039714994231966e-05
