iso3,country_name,original_2026_to_2060_rate,original_source_method,original_source_year,original_oecd_2024_projected_fallback,new_2061_forward_rate,new_source,new_source_years,new_calculation_method,new_fallback_used,new_fallback_donor_count,new_fallback_donor_iso3,new_source_path,new_source_sha256,new_policy_id,rate_change_percentage_points
BRN,Brunei Darussalam,0.26232478276458365,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.269145227116463,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.682044435187934
CAN,Canada,0.22563870167462657,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.229023282199746,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.33845805251194183
CHE,Switzerland,0.25652365379916414,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.259966201233149,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.3442547433984866
CHL,Chile,0.23523347349707513,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.240869667522065,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.5636194024989882
CHN,China,0.3797604946107143,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2024,False,0.396519325237885,World Bank WDI NE.GDI.FTOT.ZS,2024,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,1.6758830627170707
CIV,Côte d'Ivoire,0.18874231759330037,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.200444341284085,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,1.170202369078463
CMR,Cameroon,0.1871666712749274,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.193425524762361,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.6258853487433602
COD,Democratic Republic of the Congo,0.2718604039937121,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.287902886433381,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,1.6042482439668937
COL,Colombia,0.15643753053822665,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.160101297503432,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.3663766965205345
CRI,Costa Rica,0.15695483519462908,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.162542427327558,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.558759213292892
